GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,team,team_id,players_list
Lineups,-203991-203992-1628381-1629027-1629631-,C. Capela - B. Bogdanovic - J. Collins - T. Young - D. Hunter,16,6,10,0.375,245.9183333,231,458,0.504,57,138,0.413,70,95,0.737,56,178,234,135,62,29,19,22,90,103,589,30,8,20,644,374,1,1,1,123,2,2,129,1,1,185,1,1,1,1,647,2,2,646,647,1,1,4,Atlanta Hawks,1610612737,"['C.Capela', 'B.Bogdanovic', 'J.Collins', 'T.Young', 'D.Hunter']"
Lineups,-101150-201568-203991-203992-1628989-,L. Williams - D. Gallinari - C. Capela - B. Bogdanovic - K. Huerter,2,0,2,0.0,4.2,7,9,0.778,3,4,0.75,0,1,0.0,1,4,5,6,1,0,0,0,1,1,17,10,137,409,521,409,158,87,140,35,60,129,36,239,224,239,117,118,120,64,399,175,133,1,368,184,99,23,Atlanta Hawks,1610612737,"['L.Williams', 'D.Gallinari', 'C.Capela', 'B.Bogdanovic', 'K.Huerter']"
Lineups,-202362-1626153-1628381-1629629-1630168-,L. Stephenson - D. Wright - J. Collins - C. Reddish - O. Okongwu,1,0,1,0.0,4.186666667,3,5,0.6,2,3,0.667,5,6,0.833,0,5,5,2,0,0,3,0,3,3,13,7,225,409,250,409,161,162,198,75,92,150,39,66,64,146,191,101,120,144,1,175,21,1,513,102,133,43,Atlanta Hawks,1610612737,"['L.Stephenson', 'D.Wright', 'J.Collins', 'C.Reddish', 'O.Okongwu']"
Lineups,-202362-1627760-1628419-1630602-1630792-,L. Stephenson - C. Barber - C. Oliver - C. Brown Jr. - M. Hill,1,0,1,0.0,4.183333333,6,10,0.6,1,2,0.5,0,2,0.0,2,3,5,5,0,0,0,1,3,2,13,7,225,409,250,409,162,103,126,75,142,187,61,239,144,239,76,147,120,76,1,175,133,511,513,145,133,43,Atlanta Hawks,1610612737,"['L.Stephenson', 'C.Barber', 'C.Oliver', 'C.BrownJr.', 'M.Hill']"
Lineups,-203992-1628381-1628989-1629631-1630168-,B. Bogdanovic - J. Collins - K. Huerter - D. Hunter - O. Okongwu,2,1,1,0.5,4.151666667,3,6,0.5,2,2,1.0,2,2,1.0,0,5,5,3,0,0,0,1,0,3,10,2,137,120,250,305,163,162,182,124,92,187,1,129,144,1,191,101,120,111,1,175,133,511,1,102,163,110,Atlanta Hawks,1610612737,"['B.Bogdanovic', 'J.Collins', 'K.Huerter', 'D.Hunter', 'O.Okongwu']"
Lineups,-101150-203992-1629027-1629631-1630168-,L. Williams - B. Bogdanovic - T. Young - D. Hunter - O. Okongwu,5,2,3,0.4,4.15,2,7,0.286,0,2,0.0,4,4,1.0,1,3,4,0,2,2,1,0,3,2,8,1,60,74,579,368,164,198,159,295,234,187,234,76,94,1,117,147,143,286,514,54,57,1,513,145,183,140,Atlanta Hawks,1610612737,"['L.Williams', 'B.Bogdanovic', 'T.Young', 'D.Hunter', 'O.Okongwu']"
Lineups,-101150-1626153-1628989-1628995-1630168-,L. Williams - D. Wright - K. Huerter - K. Knox II - O. Okongwu,1,1,0,1.0,4.133333333,2,7,0.286,1,4,0.25,4,4,1.0,2,1,3,2,0,0,0,0,0,4,9,-4,225,120,1,1,165,198,159,295,142,129,199,76,94,1,76,244,171,144,1,175,133,1,1,81,169,558,Atlanta Hawks,1610612737,"['L.Williams', 'D.Wright', 'K.Huerter', 'K.KnoxII', 'O.Okongwu']"
Lineups,-201568-203476-203992-1626153-1629027-,D. Gallinari - G. Dieng - B. Bogdanovic - D. Wright - T. Young,1,1,0,1.0,4.033333333,2,6,0.333,1,5,0.2,0,0,0.0,0,1,1,1,1,1,0,0,1,0,5,-6,225,120,1,1,166,198,182,264,142,115,215,239,246,239,191,244,268,196,399,98,133,1,368,288,226,586,Atlanta Hawks,1610612737,"['D.Gallinari', 'G.Dieng', 'B.Bogdanovic', 'D.Wright', 'T.Young']"
Lineups,-203476-203992-1629629-1630219-1630792-,G. Dieng - B. Bogdanovic - C. Reddish - S. Mays - M. Hill,1,0,1,0.0,4.033333333,4,7,0.571,3,3,1.0,4,4,1.0,2,2,4,4,0,0,0,0,2,3,15,5,225,409,250,409,166,136,159,93,60,150,1,76,94,1,76,185,143,92,1,175,133,1,465,102,115,60,Atlanta Hawks,1610612737,"['G.Dieng', 'B.Bogdanovic', 'C.Reddish', 'S.Mays', 'M.Hill']"
Lineups,-201568-203992-1627789-1628381-1629027-,D. Gallinari - B. Bogdanovic - T. Luwawu-Cabarrot - J. Collins - T. Young,2,0,2,0.0,4.016666667,4,7,0.571,2,3,0.667,2,3,0.667,0,4,4,3,1,3,0,0,2,3,12,3,137,409,521,409,168,136,159,93,92,150,39,129,119,187,191,118,143,111,399,42,133,1,465,102,144,85,Atlanta Hawks,1610612737,"['D.Gallinari', 'B.Bogdanovic', 'T.Luwawu-Cabarrot', 'J.Collins', 'T.Young']"
